dataset_name,model,top_k,semantic_sim_mean,bleu_mean,tfidf_mean,response_time_mean,composite_score
sonar_gold_standard_dataset,InternVL3-2B-Instruct-Q5_K_M,5,0.8284852206707001,0.07835053227371945,0.5537954440341659,2.2147935152053835,0.5210378811606456
sonar_gold_standard_dataset,InternVL3-2B-Instruct-Q5_K_M,10,0.8440039694309235,0.05765381370903262,0.5767218132549624,2.3743144512176513,0.5279142758615679
sonar_gold_standard_dataset,InternVL3-2B-Instruct-Q5_K_M,15,0.8497276306152344,0.0889599127002311,0.5915822420138845,2.5229572057724,0.5440536986603285
sonar_reasoning_pro_gold_standard_dataset,InternVL3-2B-Instruct-Q5_K_M,15,0.8020857061658587,0.06734382841171957,0.5606165064281429,1.8597197192055839,0.5092223829183022
sonar_gold_standard_dataset,InternVL3-2B-Instruct-Q5_K_M,20,0.8319559156894684,0.10493495347759914,0.58972982684274,3.334960198402405,0.5411818003718891
sonar_reasoning_pro_gold_standard_dataset,InternVL3-2B-Instruct-Q5_K_M,20,0.8000039713723319,0.08211472804922508,0.5236383455272186,2.77438793863569,0.5017275106218659
sonar_gold_standard_dataset,InternVL3-2B-Instruct-Q5_K_M,25,0.8297055900096894,0.0967411922416134,0.558882604434926,3.8938884973526,0.5285693750068376
sonar_reasoning_pro_gold_standard_dataset,InternVL3-2B-Instruct-Q5_K_M,25,0.8125027673585075,0.09165423323264114,0.5400484430305972,2.836992025375366,0.5145119098223745
sonar_gold_standard_dataset,InternVL3_5-2B-Q6_K,5,0.7916868329048157,0.06080015274878189,0.5484906471071879,38.92308738231659,0.4994619731187172
sonar_gold_standard_dataset,InternVL3_5-2B-Q6_K,10,0.8358109712600708,0.08077969790844619,0.5570023777267508,31.566367173194884,0.5256590111945875
sonar_gold_standard_dataset,InternVL3_5-2B-Q6_K,15,0.8217505276203155,0.07906237607289555,0.5396895408700313,12.623379683494568,0.5143257861310043
sonar_reasoning_pro_gold_standard_dataset,InternVL3_5-2B-Q6_K,15,0.826090327330998,0.11033701189793275,0.575666473452207,11.942223821367536,0.5362371765374411
sonar_gold_standard_dataset,InternVL3_5-2B-Q6_K,20,0.8119259834289551,0.07190968105699387,0.5330651002734973,12.706867265701295,0.5062628277707294
sonar_reasoning_pro_gold_standard_dataset,InternVL3_5-2B-Q6_K,20,0.8049184339387077,0.08807928647638454,0.48493279669999145,12.457404068538121,0.49387099852839583
sonar_gold_standard_dataset,InternVL3_5-2B-Q6_K,25,0.8356641948223114,0.08880103988074674,0.5677888177700238,16.298498153686523,0.5312426352241557
sonar_reasoning_pro_gold_standard_dataset,InternVL3_5-2B-Q6_K,25,0.8109329087393624,0.09720249360337416,0.5573889083255689,11.590363570622035,0.5207505840744279
sonar_gold_standard_dataset,InternVL3_5-2B-Q8_0,5,0.8078495860099792,0.07445009153181675,0.5411063619372325,12.112619709968566,0.5078067704447066
sonar_gold_standard_dataset,InternVL3_5-2B-Q8_0,10,0.8385377705097199,0.09793645909426389,0.55759115278497,23.51126284599304,0.5320733917676581
sonar_gold_standard_dataset,InternVL3_5-2B-Q8_0,15,0.829009759426117,0.07833660141725945,0.5643636239781281,9.26156017780304,0.524413971389063
sonar_reasoning_pro_gold_standard_dataset,InternVL3_5-2B-Q8_0,15,0.8291566286768232,0.09497557617332121,0.5751768735288784,7.27789534841265,0.5327083863813892
sonar_gold_standard_dataset,InternVL3_5-2B-Q8_0,20,0.8264581084251403,0.07264275754785425,0.5842524104504854,20.5149507522583,0.5276517937695581
sonar_reasoning_pro_gold_standard_dataset,InternVL3_5-2B-Q8_0,20,0.806278509753091,0.08386684042348122,0.5126886236840219,20.635171788079397,0.5014780431334874
sonar_gold_standard_dataset,InternVL3_5-2B-Q8_0,25,0.8060697376728058,0.08604417179892158,0.524893585207883,14.581801295280457,0.5057092221711638
sonar_reasoning_pro_gold_standard_dataset,InternVL3_5-2B-Q8_0,25,0.8047058837754386,0.09922032149743899,0.4929529713892336,13.653731618608747,0.49953434137617725
sonar_gold_standard_dataset,InternVL3_5-8B-Q4_K_M,5,0.815820699930191,0.07478231612610534,0.5306222267542452,24.094658041000365,0.5079496428361815
sonar_gold_standard_dataset,InternVL3_5-8B-Q4_K_M,10,0.839557695388794,0.09993308011652179,0.5896644787513157,11.04544768333435,0.5427023458158688
sonar_gold_standard_dataset,InternVL3_5-8B-Q4_K_M,15,0.8502088844776153,0.1101813175972616,0.6138916356199775,25.201169109344484,0.5573054397562179
sonar_reasoning_pro_gold_standard_dataset,InternVL3_5-8B-Q4_K_M,15,0.834844878741673,0.13822712066753792,0.6151879442345234,26.116357735225133,0.5599624709672876
sonar_gold_standard_dataset,InternVL3_5-8B-Q4_K_M,20,0.8454665899276733,0.0957108537579999,0.6054963202622948,29.66666226387024,0.5485487881771578
sonar_reasoning_pro_gold_standard_dataset,InternVL3_5-8B-Q4_K_M,20,0.839555697781699,0.12957510876815143,0.6157482977706478,34.95940811293466,0.5594193010743194
sonar_gold_standard_dataset,InternVL3_5-8B-Q4_K_M,25,0.8203210949897766,0.10082694578343898,0.5912221684942358,18.190184140205382,0.5357431722792131
sonar_reasoning_pro_gold_standard_dataset,InternVL3_5-8B-Q4_K_M,25,0.7842241993972233,0.11682155278485207,0.582410513125679,17.2665080342974,0.5234592995320486
