model,semantic_sim_mean,bleu_mean,tfidf_mean,response_time_mean,composite_score
InternVL3_5-8B-Q4_K_M,0.8287,0.1083,0.593,23.3175,0.5419
Qwen3-4B-Instruct-2507-Q8_0,0.8471,0.1022,0.5676,12.2577,0.5398
Qwen3-4B-Instruct-2507-UD-Q6_K_XL,0.8399,0.1016,0.5681,11.7919,0.5369
InternVL3-2B-Instruct-Q5_K_M,0.8248,0.0835,0.5619,2.7265,0.5235
Qwen3-8B-Q4_K_M,0.83,0.0883,0.5398,26.3827,0.5204
Qwen3-8B-Q6_K,0.8217,0.0826,0.5439,32.3459,0.5166
InternVL3_5-2B-Q8_0,0.8185,0.0859,0.5441,15.1936,0.5164
InternVL3_5-2B-Q6_K,0.8173,0.0846,0.5455,18.5135,0.516
OpenGVLab_InternVL3_5-8B-Q6_K,0.7906,0.093,0.5503,26.8902,0.5092
Qwen3-8B-Q5_K_M,0.8222,0.074,0.5252,31.1921,0.5086
