model,top_k,semantic_sim_mean,bleu_mean,tfidf_mean,response_time_mean,composite_score
InternVL3_5-8B-Q4_K_M,15,0.834844878741673,0.13822712066753792,0.6151879442345234,26.116357735225133,0.5599624709672876
InternVL3_5-8B-Q4_K_M,20,0.839555697781699,0.12957510876815143,0.6157482977706478,34.95940811293466,0.5594193010743194
InternVL3_5-8B-Q4_K_M,15,0.8502088844776153,0.1101813175972616,0.6138916356199775,25.201169109344484,0.5573054397562179
Qwen3-4B-Instruct-2507-UD-Q6_K_XL,15,0.8673153758049011,0.11327722810682313,0.5818080647526231,13.589163732528686,0.5554517381797944
Qwen3-4B-Instruct-2507-Q8_0,10,0.8612235486507416,0.10093567817705215,0.5860702970411584,12.001118350028992,0.5505912120257598
Qwen3-4B-Instruct-2507-UD-Q6_K_XL,10,0.8444566369056702,0.10503641811299817,0.5975449133822814,10.901107335090638,0.548557054210852
InternVL3_5-8B-Q4_K_M,20,0.8454665899276733,0.0957108537579999,0.6054963202622948,29.66666226387024,0.5485487881771578
Qwen3-4B-Instruct-2507-Q8_0,5,0.8532001078128815,0.08951746498811736,0.595472082081675,10.517809319496155,0.5467769072460903
InternVL3-2B-Instruct-Q5_K_M,15,0.8497276306152344,0.0889599127002311,0.5915822420138845,2.5229572057724,0.5440536986603285
OpenGVLab_InternVL3_5-8B-Q6_K,10,0.8281287014484405,0.1217495679292477,0.5841386004052127,15.581941628456116,0.5430179310797143
